,creole,english
0,a,['future marker']
1,a,"['of', ' to', ' from', ' at']"
2,abichud,['used to']
3,(l)abitan,['farmer']
4,(l)abri,['shelter']
5,adrwa,['right (direction)']
6,Afrikin; afrikin,['African']
7,agosh,['left']
8,(l)aj,['age']
9,aklé,['lock']
10,akoz,['because']
11,alé,['go']
12,alentour,"['approximately', ' around', ' about']"
13,alfabèt,['alphabet']
14,Alman; alman,['German']
15,alon,"[""let's""]"
16,alòr,"['interjthen', ' so', "" Fr. 'donc'""]"
17,(z)ami,['friend']
18,(l)amour,['love']
19,(l)amourè,"['boyfriend', ' lover (male)']"
20,(z)an,['year (for counting age)']
21,(l)andoui,['andouille (sausage)']
22,(l)ané,['year']
23,anmær,['bitter']
24,aout,['August']
0,ap(é),['progressive marker']
1,apré,['after']
2,aprémidi,['nphrafternoon']
3,aprenn,"['learn', ' teach']"
4,"arété, arèt",['stop']
5,"arivé, ariv","['arrive', ' happen']"
6,ariyin,['nothing']
7,asé,['adv.enough']
8,"ashté, ashèt",['buy']
9,asit,['sit']
10,astœr,['now']
11,aswa,['tonight']
12,aværti,['warn']
13,avan,['before']
14,"avansé, avans",['progress']
15,avèk,['with']
16,avril,['April']
0,ap(é),['progressive marker']
1,apré,['after']
2,aprémidi,['nphrafternoon']
3,aprenn,"['learn', ' teach']"
4,"arété, arèt",['stop']
5,"arivé, ariv","['arrive', ' happen']"
6,ariyin,['nothing']
7,asé,['adv.enough']
8,"ashté, ashèt",['buy']
9,asit,['sit']
10,astœr,['now']
11,aswa,['tonight']
12,aværti,['warn']
13,avan,['before']
14,"avansé, avans",['progress']
15,avèk,['with']
16,avril,['April']
0,babìnn,['lip']
1,bæk,['back']
2,bal,['dance (social gathering)']
3,balé,['broom']
4,"balé, bal",['sweep']
5,"baloté, balot",['stagger']
6,(la)bank,['bank']
7,banndjo,['banjo']
8,(la)barb,['beard']
9,barbi,['catfish']
10,"barbouyé, barbouy","['dirty', ' get dirty']"
11,"baré, bar","['lock', ' block']"
12,bat,"['fight', ' beat']"
13,bati,['build']
14,batimen,['ship']
15,batimen-d-ær,['airplane']
16,batis,['building']
17,bato,['boat']
18,baton,['stick']
19,baton-mayi,['nphrcornstalk']
20,bayou,['bayou']
21,bèf,['cow']
22,bèl,['beautiful']
23,bèl,"['girlfriend', ' female lover']"
24,bèl-fiy,['daughter-in-law']
0,bèl-mær,"['mother-in-law', ' stepmother']"
1,bèl-sœr,['sister-in-law']
2,béñé,['beignet']
